date_published,baseline_sentiment,vader_sentiment,month,month_1.0,month_2.0,month_3.0,month_4.0,month_5.0,month_6.0,month_7.0,month_8.0,month_9.0,month_10.0,month_11.0,month_12.0
2014-01-01,0.3333333333333333,0.9570166666666666,1.0,1,0,0,0,0,0,0,0,0,0,0,0
2014-02-01,0.5,0.6006750000000001,2.0,0,1,0,0,0,0,0,0,0,0,0,0
2014-03-01,-0.25,0.551625,3.0,0,0,1,0,0,0,0,0,0,0,0,0
2014-04-01,0.8,0.9722999999999999,4.0,0,0,0,1,0,0,0,0,0,0,0,0
2014-05-01,0.75,0.98905,5.0,0,0,0,0,1,0,0,0,0,0,0,0
2014-06-01,0.5555555555555556,0.9794333333333335,6.0,0,0,0,0,0,1,0,0,0,0,0,0
2014-07-01,0.6666666666666666,0.9939333333333332,7.0,0,0,0,0,0,0,1,0,0,0,0,0
2014-08-01,0.5333333333333333,0.7197066666666666,8.0,0,0,0,0,0,0,0,1,0,0,0,0
2014-09-01,0.6,0.9495099999999999,9.0,0,0,0,0,0,0,0,0,1,0,0,0
2014-10-01,0.7777777777777778,0.9915888888888887,10.0,0,0,0,0,0,0,0,0,0,1,0,0
2014-11-01,0.2857142857142857,0.6481,11.0,0,0,0,0,0,0,0,0,0,0,1,0
2014-12-01,1.0,0.6332333333333333,12.0,0,0,0,0,0,0,0,0,0,0,0,1
2015-01-01,-1.0,0.9786,1.0,1,0,0,0,0,0,0,0,0,0,0,0
2015-02-01,1.0,0.9946,2.0,0,1,0,0,0,0,0,0,0,0,0,0
2015-03-01,0.6666666666666666,0.9868666666666667,3.0,0,0,1,0,0,0,0,0,0,0,0,0
2015-04-01,0.625,0.87301875,4.0,0,0,0,1,0,0,0,0,0,0,0,0
2015-05-01,0.7333333333333333,0.9793400000000001,5.0,0,0,0,0,1,0,0,0,0,0,0,0
2015-06-01,1.0,0.80128,6.0,0,0,0,0,0,1,0,0,0,0,0,0
2015-07-01,0.36363636363636365,0.8015636363636364,7.0,0,0,0,0,0,0,1,0,0,0,0,0
2015-08-01,1.0,0.9904909090909091,8.0,0,0,0,0,0,0,0,1,0,0,0,0
