date_published,Unnamed: 0.1,baseline_sentiment,vader_sentiment
2009,1824.5,1.0,0.9610416666666665
2010,1736.0,0.5636363636363636,0.848991515151515
2011,1519.4756554307116,0.5767790262172284,0.852074531835206
2012,1264.5714285714287,0.6448979591836734,0.821552244897959
2013,1052.5,0.4101123595505618,0.7433612359550567
2014,920.5,0.5581395348837209,0.8552918604651167
2015,824.0,0.6261682242990654,0.8839149532710278
2016,741.0,0.6949152542372882,0.8804322033898304
2017,625.0,0.6127167630057804,0.8259219653179187
2018,470.5,0.625,0.7945227941176467
2019,328.5,0.5675675675675675,0.8610432432432432
2020,179.5,0.6,0.8272740000000001
2021,52.0,0.6857142857142857,0.8611000000000002
