date_published,money_of_the_day,2020_money,oil_production,renewables
2009-01,61.67,74.4,81491,635.8
2010-01,79.5,94.35,83293,761.2
2011-01,111.26,128.01,84042,908.2
2012-01,111.67,125.88,86255,1067.9
2013-01,108.66,120.72,86670,1245.5
2014-01,98.95,108.17,88834,1414
2015-01,52.39,57.2,91632,1634.4
2016-01,43.73,47.16,91989,1851.3
2017-01,54.19,57.22,92568,2180.2
2018-01,71.31,73.5,94852,2478.6
2019-01,64.21,65,94961,2789.2
2020-01,41.84,41.84,88391,3147
