,word,cnt
3,production,751
14,U.S.,596
0,OPEC,561
30,market,526
16,demand,446
63,Saudi,257
18,supply,181
4,shale,135
33,energy,126
74,Brent,120
44,gas,119
24,global,119
252,growth,116
404,cuts,116
277,Arabia,114
37,WTI,110
222,Iran,104
246,deal,97
67,cut,96
141,markets,96
192,US$,95
131,companies,95
39,China,79
152,Russia,76
2,new,72
